# imla_loan_map.tsv — 2009/2011 imla LOANWORD-SHAPE reform
# Rules per Uyghur_Imla_Qaidisi SS V.3 (hiatus) and SS IX.2.1-4
# (initial clusters), arbitrated word-by-word against the 2011
# izahliq lughiti and the 6-volume izahliq lughet.
# The dictionary outranks the rule prose. The example word-lists
# inside the qaidisi carry transcription noise and were NOT used.
# SEPARATE FROM era_map.tsv. ORDER: calque -> era -> imla_loan.
# 873 rules (769 + 95 on 2026-08-17 + 9 on 2026-08-18) | classes: {'B': 195, 'A3': 162, 'A': 193, 'F': 71, 'W': 18, 'A4': 82, 'A?': 26, 'A2': 17, 'SEED': 9}
# variant<TAB>standard
گرادىئېنت	گىرادىئېنت
گرانىتلىق	گىرانىتلىق
گراپتولىت	گىراپتولىت
گلىتسېرىن	گىلىتسېرىن
گلۇكوزىغا	گىلۇكوزىغا
گېنتىئانا	گېنتىيانا
ئىئونىيە	ئىيونىيە
ئىندىئان	ئىندىيان
ئىيانىگە	ئىئانىگە
برىليانت	بىرىليانت
بلانكىچى	بىلانكىچى
بىئولوگى	بىيولوگى
تروپىكقا	تىروپىكقا
ترېبانگا	تىرېبانگا
خارەكتېر	خاراكتېر
دراماتىك	دىراماتىك
درامىدىن	دىرامىدىن
دىئاگنوز	دىياگنوز
دۋىگاتېل	دىۋىگاتېل
رادىئودا	رادىيودا
رادىئوسى	رادىيوسى
رادىئونى	رادىيونى
ستاندارت	ئىستاندارت
ستروۋېزم	ئىستروۋېزم
ستىمۇلىن	ئىستىمۇلىن
ستېئارىن	ئىستېئارىن
ستېرولنى	ئىستېرولنى
سرتىدىكى	سىرتىدىكى
سفالېرىت	ئىسفالېرىت
سكومبىيە	ئىسكومبىيە
سكىپىدار	ئىسكىپىدار
سلاۋىيان	سىلاۋىيان
سوتسىئال	سوتسىيال
سپورىلىق	ئىسپورىلىق
سپېكتىرى	ئىسپېكتىرى
شتاتلىرى	ئىشتاتلىرى
شتاتىنىڭ	ئىشتاتىنىڭ
شكالىلىق	ئىشكالىلىق
شلانكىغا	شىلانكىغا
شىتاتلىق	ئىشتاتلىق
فرانسىيە	فىرانسىيە
فرېيدىزم	فىرېيدىزم
فورمىئات	فورمىيات
فىرىسىيا	فىرىسىيە
فېرمىئون	فېرمىيون
كاررىئېر	كاررىيېر
كرىزىسقا	كىرىزىسقا
مۇداپىيە	مۇداپىئە
نگاناسان	نىگاناسان
نگۇلترۇم	نىگۇلترۇم
پراكتىكا	پىراكتىكا
پروبىركا	پىروبىركا
پروتوتىپ	پىروتوتىپ
پروفېسور	پىروفېسسور
پروكائىن	پىروكائىن
پرولېتار	پىرولېتار
پرومېتىر	پىرومېتىر
پرومېتىي	پىرومېتىي
پرىزمىسى	پىرىزمىسى
پرىستانى	پىرىستانى
پرىمىدىن	پىرىمىدىن
پرىنسىپى	پىرىنسىپى
پلازمىسى	پىلازمىسى
پىئانىنو	پىيانىنو
گرانىتقا	گىرانىتقا
گلوبۇلىن	گىلوبۇلىن
گلىكوزىد	گىلىكوزىد
گلىكوگېن	گىلىكوگېن
گۋاردىيە	گىۋاردىيە
گېنتىئان	گېنتىيان
ئانىئون	ئانىيون
ئورىئون	ئورىيون
ئىئولىت	ئىيولىت
ئىدىئوم	ئىدىيوم
ئۈندىئو	ئۈندىيو
بارىئون	بارىيون
باۋىئان	باۋىيان
براشۇرا	بىراشۇرا
برقانچە	بىرقانچە
برېزېنت	بىرېزېنت
بلاكفۇت	بىلاكفۇت
بلمەيدۇ	بىلمەيدۇ
بلىنداژ	بىلىنداژ
بنورمال	بىنورمال
بىئوتىن	بىيوتىن
بىئولوگ	بىيولوگ
بىئونىك	بىيونىك
بىيارام	بىئارام
تراخوما	تىراخوما
ترامۋاي	تىرامۋاي
ترانزىت	تىرانزىت
ترومبون	تىرومبون
ترىليون	تىرىليون
ترىپسىن	تىرىپسىن
ترېۋوگا	تىرېۋوگا
تزېلتال	تىزېلتال
تىئاتىر	تىياتىر
تەبىيەت	تەبىئەت
خرىستوس	خىرىستوس
خرۇستال	خىرۇستال
درامىدا	دىرامىدا
درامىسى	دىرامىسى
درامىنى	دىرامىنى
درايماق	دىرايماق
دىئاباز	دىياباز
دىئابېت	دىيابېت
دىئالوگ	دىيالوگ
دىئورىت	دىيورىت
رادىئان	رادىيان
ستارشىي	ئىستارشىي
ستراتون	ئىستراتون
سترېلكا	ئىسترېلكا
ستىخىيە	ئىستىخىيە
ستۇدىيە	ئىستۇدىيە
ستېركۇل	ئىستېركۇل
ستېرلىڭ	ئىستېرلىڭ
ستېرېئو	ئىستېرېئو
سخېمىسى	ئىسخېمىسى
سكاليار	ئىسكاليار
سىتالىن	ئىستالىن
سىپېكتر	ئىسپېكتر
سپورىسى	ئىسپورىسى
شتاتلىق	ئىشتاتلىق
شكالىسى	ئىشكالىسى
شكالىنى	ئىشكالىنى
شىتاتنى	ئىشتاتنى
شەرىيەت	شەرىئەت
فابىئان	فابىيان
فرانسۇز	فىرانسۇز
فرونتتا	فىرونتتا
فرونتقا	فىرونتقا
فرىدرىخ	فىرىدرىخ
فرىسىيا	فىرىسىيە
فلاماند	فىلاماند
فىزىئول	فىزىيول
كاتىئون	كاتىيون
كراخمال	كىراخمال
كرىزىسى	كىرىزىسى
كرىستال	كىرىستال
كرىپتون	كىرىپتون
كرېدىتى	كىرېدىتى
كرېمنىي	كىرېمنىي
كرېيسېر	كىرېيسېر
كسلورود	كىسلورود
كلارنېت	كىلارنېت
كلاسسىك	كىلاسسىك
كلاپانى	كىلاپانى
كلىنىكا	كىلىنىكا
كىئانىت	كىيانىت
كۋادرات	كىۋادرات
كۋارتىس	كىۋارتىس
ليەننىڭ	لىيەننىڭ
مارىئوت	مارىيوت
مۇددىيا	مۇددىئا
نجاتلىق	نىجاتلىق
ندېبېلى	نىدېبېلى
نىئوبىي	نىيوبىي
يۇلىئان	يۇلىيان
پاۋىئان	پاۋىيان
پرامىدا	پىرامىدا
پروكسېن	پىروكسېن
پرىتسېل	پىرىتسېل
پرىتسېپ	پىرىتسېپ
پرىنتېر	پىرىنتېر
پرىنسىپ	پىرىنسىپ
پسىخىكا	پىسخىكا
پلاتىنا	پىلاتىنا
پلازمىت	پىلازمىت
پلازمېت	پىلازمېت
پلاستىر	پىلاستىر
پلانلىق	پىلانلىق
پلانېتا	پىلانېتا
پليونكا	پىليونكا
پىئونېر	پىيونېر
پچىرلاپ	پىچىرلاپ
گرانىتى	گىرانىتى
گراژدان	گىراژدان
گرۇزىيە	گىرۇزىيە
گلۇكوزا	گىلۇكوزا
ۋراچلار	ۋىراچلار
ۋراچلىق	ۋىراچلىق
ۋراچنىڭ	ۋىراچنىڭ
ۋىئولېت	ۋىيولېت
ۋيېتنام	ۋىيېتنام
شتاتتىن	ئىشتاتتىن
شتاتلار	ئىشتاتلار
ئىيانە	ئىئانە
براخما	بىراخما
براخۇي	بىراخۇي
برومىد	بىرومىد
برونزا	بىرونزا
برۇنېي	بىرۇنېي
برېتون	بىرېتون
بلىنىپ	بىلىنىپ
بمالال	بىمالال
تراخىت	تىراخىت
تروتىل	تىروتىل
تروپىك	تىروپىك
ترىتىي	تىرىتىي
ترىگلا	تىرىگلا
ترېنېر	تىرېنېر
تلاۋەت	تىلاۋەت
تياتىر	تىياتىر
جنايەت	جىنايەت
دخارما	دىخارما
دراۋىد	دىراۋىد
دىئولا	دىيولا
رادىئو	رادىيو
رادىئۇ	رادىيو
رادىيۇ	رادىيو
رىيايە	رىئايە
ستاتور	ئىستاتور
ستاتىك	ئىستاتىك
ستاكان	ئىستاكان
ستالىن	ئىستالىن
ستانوك	ئىستانوك
ستولبا	ئىستولبا
سرتتىن	سىرتتىن
سلوۋاك	سىلوۋاك
سليۇدا	سىليۇدا
سنىپتا	سىنىپتا
سنىپىي	سىنىپىي
سىئوكس	سىيوكس
سىمېنا	ئىسمېنا
سياسىي	سىياسىي
سپازما	ئىسپازما
سپىرال	ئىسپىرال
سپىلىت	ئىسپىلىت
سپېرما	ئىسپېرما
سپېكتر	ئىسپېكتر
شتاتقا	ئىشتاتقا
شتاتنى	ئىشتاتنى
شتانكا	ئىشتانكا
شلانكا	شىلانكا
شپىرىس	ئىشپىرىس
غزادىن	غىزادىن
فلانېل	فىلانېل
فلورىن	فىلورىن
فلورېن	فىلورېن
فلىمىش	فىلىمىش
قسقىچە	قىسقىچە
قيامەت	قىيامەت
كروتىن	كىروتىن
كروۋات	كارىۋات
كرىتىك	كىرىتىك
كرىزىس	كىرىزىس
كرېئول	كىرېئول
كرېتىن	كىرېتىن
كرېدىت	كىرېدىت
كرېسلو	كىرېسلو
كسېنون	كىسېنون
كلازىن	كىلازىن
كلاماز	كىلاماز
كلاپان	كىلاپان
كلىمات	كىلىمات
كىرىزس	كىرىزىس
كۋارتس	كىۋارتس
مبوندۇ	مىبوندۇ
مىچىسى	مچىسى
ميۇئون	مىيۇئون
نيۇتون	نىيۇتون
پراجنا	پىراجنا
پرسەنت	پىرسەنت
پروتون	پىروتون
پروتىي	پىروتىي
پروكات	پىروكات
پروپان	پىروپان
پرىدىن	پىرىدىن
